dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
t2d;random-forest;multisurf;190;0.736;0.055;0.651;0.055
t2d;random-forest;multisurf;200;0.742;0.057;0.692;0.051
t2d;random-forest;boruta;16;0.795;0.076;0.721;0.072
obesity;random-forest;random-forest;10;0.678;0.064;0.68;0.097
obesity;random-forest;random-forest;20;0.703;0.081;0.684;0.07
obesity;random-forest;random-forest;30;0.712;0.074;0.676;0.036
obesity;random-forest;random-forest;40;0.715;0.103;0.703;0.029
obesity;random-forest;random-forest;50;0.711;0.101;0.676;0.037
obesity;random-forest;random-forest;60;0.689;0.086;0.664;0.037
obesity;random-forest;random-forest;70;0.692;0.09;0.668;0.047
obesity;random-forest;random-forest;80;0.666;0.103;0.664;0.024
obesity;random-forest;random-forest;90;0.7;0.112;0.672;0.041
obesity;random-forest;random-forest;100;0.687;0.098;0.632;0.036
obesity;random-forest;random-forest;110;0.675;0.085;0.66;0.039
obesity;random-forest;random-forest;120;0.669;0.133;0.652;0.046
obesity;random-forest;random-forest;130;0.677;0.113;0.672;0.049
obesity;random-forest;random-forest;140;0.656;0.1;0.668;0.038
obesity;random-forest;random-forest;150;0.678;0.09;0.664;0.043
obesity;random-forest;random-forest;160;0.656;0.102;0.676;0.031
obesity;random-forest;random-forest;170;0.669;0.102;0.648;0.035
obesity;random-forest;random-forest;180;0.654;0.063;0.645;0.025
obesity;random-forest;random-forest;190;0.651;0.076;0.676;0.042
obesity;random-forest;random-forest;200;0.648;0.1;0.664;0.045
obesity;random-forest;mrmr;10;0.67;0.096;0.66;0.048
obesity;random-forest;mrmr;20;0.7;0.092;0.688;0.058
obesity;random-forest;mrmr;30;0.733;0.067;0.723;0.049
obesity;random-forest;mrmr;40;0.752;0.08;0.703;0.05
obesity;random-forest;mrmr;50;0.732;0.094;0.707;0.043
obesity;random-forest;mrmr;60;0.738;0.097;0.695;0.077
obesity;random-forest;mrmr;70;0.758;0.087;0.71;0.083
obesity;random-forest;mrmr;80;0.759;0.094;0.714;0.093
obesity;random-forest;mrmr;90;0.736;0.084;0.715;0.059
obesity;random-forest;mrmr;100;0.723;0.091;0.695;0.072
obesity;random-forest;mrmr;110;0.73;0.107;0.691;0.065
obesity;random-forest;mrmr;120;0.736;0.093;0.71;0.068
obesity;random-forest;mrmr;130;0.741;0.069;0.703;0.06
obesity;random-forest;mrmr;140;0.723;0.082;0.703;0.057
obesity;random-forest;mrmr;150;0.726;0.074;0.699;0.054
obesity;random-forest;mrmr;160;0.715;0.063;0.691;0.056
obesity;random-forest;mrmr;170;0.716;0.075;0.688;0.037
obesity;random-forest;mrmr;180;0.71;0.1;0.703;0.049
obesity;random-forest;mrmr;190;0.731;0.078;0.702;0.068
obesity;random-forest;mrmr;200;0.723;0.088;0.711;0.042
obesity;random-forest;mutual-info;10;0.559;0.119;0.609;0.081
obesity;random-forest;mutual-info;20;0.589;0.142;0.621;0.078
obesity;random-forest;mutual-info;30;0.64;0.078;0.62;0.038
obesity;random-forest;mutual-info;40;0.682;0.075;0.66;0.055
obesity;random-forest;mutual-info;50;0.625;0.101;0.668;0.066
obesity;random-forest;mutual-info;60;0.647;0.138;0.688;0.065
obesity;random-forest;mutual-info;70;0.676;0.089;0.648;0.073
obesity;random-forest;mutual-info;80;0.634;0.09;0.668;0.057
obesity;random-forest;mutual-info;90;0.653;0.117;0.676;0.053
obesity;random-forest;mutual-info;100;0.657;0.105;0.668;0.053
obesity;random-forest;mutual-info;110;0.658;0.12;0.68;0.039
obesity;random-forest;mutual-info;120;0.677;0.125;0.664;0.065
obesity;random-forest;mutual-info;130;0.653;0.107;0.656;0.039
obesity;random-forest;mutual-info;140;0.655;0.108;0.68;0.055
obesity;random-forest;mutual-info;150;0.677;0.101;0.676;0.036
obesity;random-forest;mutual-info;160;0.643;0.109;0.66;0.054
obesity;random-forest;mutual-info;170;0.671;0.143;0.676;0.054
obesity;random-forest;mutual-info;180;0.648;0.123;0.656;0.032
obesity;random-forest;mutual-info;190;0.62;0.114;0.668;0.057
obesity;random-forest;mutual-info;200;0.661;0.107;0.664;0.048
obesity;random-forest;chi2;10;0.614;0.098;0.663;0.066
obesity;random-forest;chi2;20;0.641;0.081;0.636;0.072
obesity;random-forest;chi2;30;0.646;0.096;0.64;0.063
obesity;random-forest;chi2;40;0.657;0.096;0.628;0.063
obesity;random-forest;chi2;50;0.646;0.123;0.659;0.054
obesity;random-forest;chi2;60;0.668;0.105;0.652;0.044
obesity;random-forest;chi2;70;0.658;0.105;0.656;0.033
obesity;random-forest;chi2;80;0.663;0.094;0.676;0.044
obesity;random-forest;chi2;90;0.668;0.092;0.644;0.045
obesity;random-forest;chi2;100;0.671;0.103;0.664;0.054
obesity;random-forest;chi2;110;0.645;0.097;0.66;0.036
